year,workload,country,scheduler,ci_mean_g_kwh,diurnal_amp_frac,co2_kg,co2_red_pct,facility_co2_kg,facility_co2_red_pct,p50_slow,p95_slow,p99_slow,ettr,jain,avg_pue
2025,Philly,DE,Threshold,295.0,0.4,183.32954527930295,0.0,270.7670414563234,56.35297628110912,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2025,Philly,DE,CarbonScaler,295.0,0.4,126.71676314910208,30.8803373967634,187.1532654953765,69.83132446914797,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091729,1.4769416519514584
2025,Philly,DE,ProACT-OPT,295.0,0.4,138.6306592253055,24.38171435264219,204.74939484734236,66.99486892767908,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2025,Philly,DE,ProACT-OPT-PUE,295.0,0.4,138.01067057718524,24.719896966456943,529.5671069975319,14.635001529186663,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2025,Acme,CH,FCFS,30.0,0.3,2277.8112450228177,0.0,2690.9042063270986,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
2025,Acme,CH,Threshold,30.0,0.3,2119.954650288009,6.9301877001325956,2504.564150385797,6.924811946228404,1.6163760059244103,23.8318479047556,30.747824157679183,0.7099053135898432,0.21699566146823795,1.181423456414757
2025,Acme,CH,CarbonScaler,30.0,0.3,2160.1660781462615,5.16483387873421,2552.0708744734666,5.1593561572052415,1.0373466359948118,3.8806510189296626,14.623631826518992,0.9440153554899922,0.20954104950858582,1.181423456414757
2025,Acme,CH,ProACT-OPT,30.0,0.3,2199.445478047335,3.440397756693725,2598.47647887049,3.4348204309645802,1.2253835597675709,3.8646353589534446,13.689429289888672,0.777871692916512,0.24338124954008072,1.181423456414757
2025,Acme,CH,ProACT-OPT-PUE,30.0,0.3,2207.3785704857205,3.092120766854478,2595.638545850336,3.5402843495047187,1.2253835597675709,4.049346040938738,14.597796527735044,0.7755737387002246,0.24584875473511758,1.175203765664739
2025,Acme,IT,FCFS,258.0,0.35,19176.828280253834,0.0,22636.529368458752,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
2025,Acme,IT,Threshold,258.0,0.35,17887.77842316898,6.721913750524511,21133.041012281607,6.641867804488044,1.6168472287500346,17.200767914311356,26.592709017367,0.7122595171234252,0.24948369746286167,1.181423456414757
2025,Acme,IT,CarbonScaler,258.0,0.35,18918.1116808894,1.34911047637023,22350.300890876744,1.264453896279838,1.0675620190136093,4.405995233891572,20.585895977462435,0.9286549883891809,0.20648870343808476,1.181423456414757
2025,Acme,IT,ProACT-OPT,258.0,0.35,18831.226981779495,1.802181744674658,22247.653269344763,1.7179139645666752,1.2050542273096463,3.8646353589534446,13.689429289888672,0.7811118011022793,0.2431018435078568,1.181423456414757
2025,Acme,IT,ProACT-OPT-PUE,258.0,0.35,18725.53197785527,2.353341729942171,21977.653745520838,2.9106742125229568,1.2050542273096463,3.8646353589534446,13.689429289888672,0.7806472768928994,0.24320983463285156,1.1737593492710947
2025,Acme,DE,FCFS,295.0,0.4,22931.560912215926,0.0,27093.972674099125,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
2025,Acme,DE,Threshold,295.0,0.4,21366.94113560449,6.8229972769884295,25243.40544943651,6.83018044980791,1.6252639002242575,42.81208684019898,122.04114537219814,0.6510839195040199,0.11396318242369974,1.181423456414757
2025,Acme,DE,CarbonScaler,295.0,0.4,22188.163648412563,3.2418083821208477,26213.616989003833,3.2492676348525262,1.0675620190136093,4.405995233891572,20.585895977462435,0.9266882363679162,0.20677184876446192,1.181423456414757
2025,Acme,DE,ProACT-OPT,295.0,0.4,22271.85344187555,2.876853751324626,26312.490074063517,2.8843411390263807,1.225084199298311,4.049346040938738,14.597796527735044,0.7732893215232198,0.24789721861708944,1.181423456414757
2025,Acme,DE,ProACT-OPT-PUE,295.0,0.4,22238.112045103466,3.023993306722761,26159.041030694305,3.450699735511953,1.265275520028525,3.87234017874627,13.689429289888672,0.7651756769508596,0.24890740737378778,1.1741638325537618
2028,M100,CH,FCFS,23.0,0.4,66.34530278255582,0.0,102.08357947091235,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2028,M100,CH,Threshold,23.0,0.4,61.45685061468399,7.368196334702926,81.67484325012119,19.99218319593352,10.039127514510447,68.81591324200868,203.2090097402597,0.31582250286753727,0.26225540317500784,1.32897866443235
2028,M100,CH,CarbonScaler,23.0,0.4,37.76298841015592,43.081142407439664,50.18620590230333,50.838120917768805,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2028,M100,CH,ProACT-OPT,23.0,0.4,44.41362582000816,33.05686468027419,59.02476112487258,42.17996524926806,2.038205638424955,13.281656025656094,33.939840909090854,0.7005491777867683,0.29866729124281977,1.32897866443235
2028,M100,CH,ProACT-OPT-PUE,23.0,0.4,44.334275413826916,33.17646682670091,73.11548845761548,28.3768370617833,2.038205638424955,13.281656025656094,33.939840909090854,0.7005491777867683,0.29866729124281977,1.3328543891540952
2028,M100,IT,FCFS,194.99999999999994,0.5,524.8253338593348,0.0,829.7256461456383,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2028,M100,IT,Threshold,194.99999999999994,0.5,481.8402762976994,8.190354921615949,640.3554468638312,22.82323080665242,7.78802126512182,53.322428398547785,160.29261363636363,0.3609246646486488,0.25295652752731884,1.32897866443235
2028,M100,IT,CarbonScaler,194.99999999999994,0.5,313.77938746611517,40.21260651449131,417.00611128111865,49.74168712052523,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2028,M100,IT,ProACT-OPT,194.99999999999994,0.5,348.7329292493847,33.55257325614295,463.45862255742855,44.14314843582893,2.038205638424955,13.281656025656094,33.939840909090854,0.7180074167039902,0.29797261850261636,1.32897866443235
2028,M100,IT,ProACT-OPT-PUE,194.99999999999994,0.5,348.62227488479795,33.57365729257333,587.8688115482346,29.149012775597825,2.038205638424955,13.281656025656094,33.939840909090854,0.7180074167039902,0.2979726185026163,1.3441903282192014
2028,M100,DE,FCFS,205.0,0.6,626.1216929539995,0.0,971.6057379540484,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2028,M100,DE,Threshold,205.0,0.6,536.6412540715073,14.291221641008722,713.1847771152533,26.59730698821965,12.741086538112357,92.30846153846112,244.17654220779212,0.24767722827648178,0.28041885768421926,1.32897866443235
2028,M100,DE,CarbonScaler,205.0,0.6,349.4511166048475,44.187987648828944,464.4130782299037,52.2014887223867,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2028,M100,DE,ProACT-OPT,205.0,0.6,412.24289911758495,34.15930101820126,547.862017491008,43.61272313555246,2.038205638424955,13.281656025656094,33.939840909090854,0.7056968506106709,0.29848381690868664,1.32897866443235
2028,M100,DE,ProACT-OPT-PUE,205.0,0.6,412.9368389713627,34.04846955179674,682.9949288651968,29.704518799630776,2.038205638424955,13.281656025656094,33.939840909090854,0.7056968506106709,0.29848381690868664,1.3434869567945402
2028,Philly,CH,FCFS,23.0,0.4,12.148920577361675,0.0,43.51543075666569,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2028,Philly,CH,Threshold,23.0,0.4,12.148920577361675,0.0,17.94324682695562,58.76578373475695,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2028,Philly,CH,CarbonScaler,23.0,0.4,7.932017873597892,34.71010183095253,11.715127581540164,73.07822218961802,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2028,Philly,CH,ProACT-OPT,23.0,0.4,9.290437589610372,23.528699274549602,13.721434240951067,68.46765847802341,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2028,Philly,CH,ProACT-OPT-PUE,23.0,0.4,9.262603528107594,23.75780655470291,37.24267640573745,14.415011507078745,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2028,Philly,IT,FCFS,194.99999999999994,0.5,114.13854996287401,0.0,382.5724446527044,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2028,Philly,IT,Threshold,194.99999999999994,0.5,114.13854996287401,0.0,168.57597853351123,55.93619433659346,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2028,Philly,IT,CarbonScaler,194.99999999999994,0.5,79.51732492745454,30.332630865453226,117.4424492371156,69.30190585374524,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091729,1.4769416519514584
2028,Philly,IT,ProACT-OPT,194.99999999999994,0.5,86.99974656949442,23.777070413288982,128.49354941770733,66.41327643595645,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2028,Philly,IT,ProACT-OPT-PUE,194.99999999999994,0.5,86.4365846855624,24.270472409472752,328.6319401936305,14.099422269693406,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2028,Philly,DE,FCFS,205.0,0.6,115.45274635045988,0.0,423.1765008222449,0.0,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2028,Philly,DE,Threshold,205.0,0.6,115.45274635045988,0.0,170.51696991718092,59.705472873408326,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.2481039252009173,1.4769416519514584
2028,Philly,DE,CarbonScaler,205.0,0.6,76.7701987698267,33.50509087346547,113.38510419174968,73.20619080420606,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091729,1.4769416519514584
2028,Philly,DE,ProACT-OPT,205.0,0.6,89.18892095095401,22.748549713820864,131.72683224507006,68.87189340875007,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4769416519514584
2028,Philly,DE,ProACT-OPT-PUE,205.0,0.6,89.1007354102791,22.824932081033865,360.6478179995773,14.776029080341768,1.9738429133941495,22.096817280957083,43.82386624224972,0.7664435403822555,0.24810392520091734,1.4336472826198454
2028,Acme,CH,FCFS,23.0,0.4,1741.9522726899913,0.0,2059.326862915791,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
2028,Acme,CH,Threshold,23.0,0.4,1618.8597536277434,7.066354284906085,1912.5588855816304,7.126987948205188,1.6163760059244103,23.8318479047556,30.747824157679183,0.7099053135898432,0.21699566146823795,1.181423456414757
2028,Acme,CH,CarbonScaler,23.0,0.4,1623.4515308550685,6.8027547994716,1917.9837189046236,6.86356044571964,1.0373466359948118,3.8806510189296626,14.623631826518992,0.9440153554899922,0.20954104950858582,1.181423456414757
2028,Acme,CH,ProACT-OPT,23.0,0.4,1663.6038063094954,4.497738979926657,1965.42055895491,4.560048511576231,1.2253835597675709,3.8646353589534446,13.689429289888672,0.777871692916512,0.24338124954008072,1.181423456414757
2028,Acme,CH,ProACT-OPT-PUE,23.0,0.4,1674.685063798785,3.861598847787584,1970.79144909367,4.299240466215448,1.2253835597675709,4.049346040938738,14.597796527735044,0.7755737387002246,0.24584875473511758,1.175203765664739
2028,Acme,IT,FCFS,194.99999999999994,0.5,14312.914139808956,0.0,16905.016099188833,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
2028,Acme,IT,Threshold,194.99999999999994,0.5,13338.271470199052,6.809533405214108,15758.146782920907,6.784195350887357,1.6168472287500346,17.200767914311356,26.592709017367,0.7122595171234252,0.24948369746286167,1.181423456414757
2028,Acme,IT,CarbonScaler,194.99999999999994,0.5,14052.740573489393,1.8177539792259,16602.23734043173,1.7910586832959652,1.0675620190136093,4.405995233891572,20.585895977462435,0.9286549883891809,0.20648870343808476,1.181423456414757
2028,Acme,IT,ProACT-OPT,194.99999999999994,0.5,13958.928190729486,2.473192709896288,16491.40519093702,2.4466756247079946,1.2050542273096463,3.8646353589534446,13.689429289888672,0.7811118011022793,0.2431018435078568,1.181423456414757
2028,Acme,IT,ProACT-OPT-PUE,194.99999999999994,0.5,13829.141581196516,3.3799724772113904,16240.09970213884,3.9332491205488984,1.2050542273096463,3.8646353589534446,13.689429289888672,0.7806472768928994,0.24320983463285156,1.1737593492710947
2028,Acme,DE,FCFS,205.0,0.6,16062.29472205558,0.0,18998.63634155442,0.0,1.3354262662236622,3.8560716802439847,14.597796527735044,0.7230295649391724,0.2622428075113843,1.181423456414757
2028,Acme,DE,Threshold,205.0,0.6,14943.05749728265,6.968102902732043,17654.078637844115,7.077127429243135,1.6252639002242575,42.81208684019898,122.04114537219814,0.6510839195040199,0.11396318242369974,1.181423456414757
2028,Acme,DE,CarbonScaler,205.0,0.6,15310.911458567763,4.677932241251137,18088.669936241433,4.789640629747083,1.0675620190136093,4.405995233891572,20.585895977462435,0.9266882363679162,0.20677184876446192,1.181423456414757
2028,Acme,DE,ProACT-OPT,205.0,0.6,15398.147429719902,4.134821977981263,18191.73255880369,4.247166840000194,1.225084199298311,4.049346040938738,14.597796527735044,0.7732893215232198,0.24789721861708944,1.181423456414757
2028,Acme,DE,ProACT-OPT-PUE,205.0,0.6,15334.971253138405,4.528141722604984,18021.55786852798,5.142887391814233,1.225084199298311,4.049346040938738,14.597796527735044,0.7665161065232108,0.24947178015684582,1.171257287760418
2032,M100,CH,FCFS,14.0,0.55,41.487008850617386,0.0,62.5528536594546,0.0,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
2032,M100,CH,Threshold,14.0,0.55,37.395586927507246,9.861935185161585,49.69793717058243,20.55048768655049,10.039127514510447,68.81591324200868,203.2090097402597,0.31582250286753727,0.26225540317500784,1.32897866443235
2032,M100,CH,CarbonScaler,14.0,0.55,21.850460055239218,47.331801784225156,29.03879522144423,53.577185495748935,2.038205638424955,13.281656025656094,33.939840909090854,0.7363580407744837,0.2973611866158164,1.32897866443235
