country,mw,layer,mechanism,cfe_pct_mean,cfe_lift_pp_mean,cfe_abs_pct_mean,cfe_abs_lift_pp_mean,ci_weighted_mean_g,ci_weighted_lift_g_mean,co2_avoided_t_y_mean,delta_facility_pp_mean,jain_mean,p95_mean
FR,10.0000,pue,GridPilot-PUE,50.3183,14.5028,100.0000,0.0000,59.6450,-1.4346,1246.7915,96.7599,0.6895,2640.6333
FR,10.0000,pue,none,35.8154,0.0000,100.0000,0.0000,58.2104,0.0000,0.0000,0.0000,0.3529,11280.6333
FR,50.0000,fsla,M0,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,M1,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,M2,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,M3,46.5391,-4.2736,100.0000,0.0000,58.1504,0.8481,-94.6587,-48.6857,0.3501,11280.6333
FR,50.0000,fsla,none,50.8127,0.0000,100.0000,0.0000,58.9986,0.0000,0.0000,0.0000,0.9802,1260.6500
FR,50.0000,pue,GridPilot-PUE,50.3322,14.5181,100.0000,0.0000,59.6085,-1.4664,6234.9005,96.7749,0.8253,2640.6333
FR,50.0000,pue,none,35.8142,0.0000,100.0000,0.0000,58.1421,0.0000,0.0000,0.0000,0.3501,11280.6333
IT,1.0000,fsla,M0,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,M1,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,M2,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,M3,54.9775,-4.8889,0.0000,0.0000,293.9698,3.7154,-9.1172,-48.3703,0.3616,11280.6333
IT,1.0000,fsla,none,59.8665,0.0000,0.0000,0.0000,297.6852,0.0000,0.0000,0.0000,0.9845,1260.6500
IT,1.0000,pue,GridPilot-PUE,60.0989,18.6735,0.0000,0.0000,302.9723,-9.0385,605.4748,96.8032,0.8525,2640.6333
IT,1.0000,pue,none,41.4254,0.0000,0.0000,0.0000,293.9338,0.0000,0.0000,0.0000,0.3650,11280.6333
IT,10.0000,fsla,M0,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,M1,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,M2,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,M3,55.1310,-5.5594,0.0000,0.0000,287.3722,6.2147,-91.5295,-51.5190,0.3496,11280.6333
IT,10.0000,fsla,none,60.6904,0.0000,0.0000,0.0000,293.5869,0.0000,0.0000,0.0000,0.9809,1260.6500
IT,10.0000,pue,GridPilot-PUE,60.1170,18.6903,0.0000,0.0000,298.5867,-11.2585,6059.0019,96.9558,0.7235,2640.6333
IT,10.0000,pue,none,41.4267,0.0000,0.0000,0.0000,287.3283,0.0000,0.0000,0.0000,0.3529,11280.6333
IT,50.0000,fsla,M0,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,M1,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,M2,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,M3,55.1409,-5.5920,0.0000,0.0000,286.8511,6.4542,-457.6412,-51.7751,0.3500,11280.6333
IT,50.0000,fsla,none,60.7330,0.0000,0.0000,0.0000,293.3053,0.0000,0.0000,0.0000,0.9802,1260.6500
IT,50.0000,pue,GridPilot-PUE,60.1297,18.7045,0.0000,0.0000,298.2437,-11.4604,30299.4299,96.9700,0.7219,2640.6333
IT,50.0000,pue,none,41.4252,0.0000,0.0000,0.0000,286.7833,0.0000,0.0000,0.0000,0.3501,11280.6333
PL,1.0000,fsla,M0,55.4051,-4.5409,0.0000,0.0000,700.8575,10.8706,-21.3302,-48.6945,0.3616,11280.6333
PL,1.0000,fsla,M1,55.4051,-4.5409,0.0000,0.0000,700.8575,10.8706,-21.3302,-48.6945,0.3616,11280.6333
PL,1.0000,fsla,M2,55.4051,-4.5409,0.0000,0.0000,700.8575,10.8706,-21.3302,-48.6945,0.3616,11280.6333
PL,1.0000,fsla,M3,55.4051,-4.5409,0.0000,0.0000,700.8575,10.8706,-21.3302,-48.6945,0.3616,11280.6333
PL,1.0000,fsla,none,59.9460,0.0000,0.0000,0.0000,711.7281,0.0000,0.0000,0.0000,0.9845,1260.6500
PL,1.0000,pue,GridPilot-PUE,60.1791,17.6536,0.0000,0.0000,725.7601,-24.9993,1421.2875,96.8349,0.8525,2640.6333
PL,1.0000,pue,none,42.5255,0.0000,0.0000,0.0000,700.7608,0.0000,0.0000,0.0000,0.3650,11280.6333
PL,10.0000,fsla,M0,55.5720,-5.1996,0.0000,0.0000,683.1561,17.6837,-214.2887,-51.9483,0.3496,11280.6333
PL,10.0000,fsla,M1,55.5720,-5.1996,0.0000,0.0000,683.1561,17.6837,-214.2887,-51.9483,0.3496,11280.6333
PL,10.0000,fsla,M2,55.5720,-5.1996,0.0000,0.0000,683.1561,17.6837,-214.2887,-51.9483,0.3496,11280.6333
PL,10.0000,fsla,M3,55.5720,-5.1996,0.0000,0.0000,683.1561,17.6837,-214.2887,-51.9483,0.3496,11280.6333
PL,10.0000,fsla,none,60.7716,0.0000,0.0000,0.0000,700.8399,0.0000,0.0000,0.0000,0.9809,1260.6500
PL,10.0000,pue,GridPilot-PUE,60.1972,17.6704,0.0000,0.0000,714.1099,-31.0718,14222.6210,96.9860,0.7235,2640.6333
PL,10.0000,pue,none,42.5268,0.0000,0.0000,0.0000,683.0381,0.0000,0.0000,0.0000,0.3529,11280.6333
PL,50.0000,fsla,M0,55.5832,-5.2310,0.0000,0.0000,681.7565,18.3353,-1071.4307,-52.2094,0.3500,11280.6333
PL,50.0000,fsla,M1,55.5832,-5.2310,0.0000,0.0000,681.7565,18.3353,-1071.4307,-52.2094,0.3500,11280.6333
PL,50.0000,fsla,M2,55.5832,-5.2310,0.0000,0.0000,681.7565,18.3353,-1071.4307,-52.2094,0.3500,11280.6333
PL,50.0000,fsla,M3,55.5832,-5.2310,0.0000,0.0000,681.7565,18.3353,-1071.4307,-52.2094,0.3500,11280.6333
PL,50.0000,fsla,none,60.8142,0.0000,0.0000,0.0000,700.0917,0.0000,0.0000,0.0000,0.9802,1260.6500
PL,50.0000,pue,GridPilot-PUE,60.2100,17.6846,0.0000,0.0000,713.1988,-31.6237,71123.5229,97.0002,0.7219,2640.6333
PL,50.0000,pue,none,42.5254,0.0000,0.0000,0.0000,681.5751,0.0000,0.0000,0.0000,0.3501,11280.6333
SE,1.0000,fsla,M0,39.8987,-3.1178,100.0000,-0.0000,12.1227,0.0669,-0.3957,-44.7092,0.3624,11280.6333
SE,1.0000,fsla,M1,39.8987,-3.1178,100.0000,-0.0000,12.1227,0.0669,-0.3957,-44.7092,0.3624,11280.6333
SE,1.0000,fsla,M2,39.8987,-3.1178,100.0000,-0.0000,12.1227,0.0669,-0.3957,-44.7092,0.3624,11280.6333
SE,1.0000,fsla,M3,39.8987,-3.1178,100.0000,-0.0000,12.1227,0.0669,-0.3957,-44.7092,0.3624,11280.6333
SE,1.0000,fsla,none,43.0165,0.0000,100.0000,0.0000,12.1895,0.0000,0.0000,0.0000,0.9845,1260.6500
SE,1.0000,pue,GridPilot-PUE,43.1906,12.2294,100.0000,-0.0000,12.2812,-0.1592,25.9803,96.5085,0.8543,2640.6333
SE,1.0000,pue,none,30.9612,0.0000,100.0000,0.0000,12.1221,0.0000,0.0000,0.0000,0.3650,11280.6333
SE,10.0000,fsla,M0,40.0246,-3.5792,100.0000,-0.0000,12.0075,0.1121,-3.9602,-47.2791,0.3500,11280.6333
SE,10.0000,fsla,M1,40.0246,-3.5792,100.0000,-0.0000,12.0075,0.1121,-3.9602,-47.2791,0.3500,11280.6333
SE,10.0000,fsla,M2,40.0246,-3.5792,100.0000,-0.0000,12.0075,0.1121,-3.9602,-47.2791,0.3500,11280.6333
SE,10.0000,fsla,M3,40.0246,-3.5792,100.0000,-0.0000,12.0075,0.1121,-3.9602,-47.2791,0.3500,11280.6333
SE,10.0000,fsla,none,43.6038,0.0000,100.0000,0.0000,12.1196,0.0000,0.0000,0.0000,0.9809,1260.6500
SE,10.0000,pue,GridPilot-PUE,43.2241,12.2619,100.0000,0.0000,12.2050,-0.1982,260.0266,96.6754,0.7245,2640.6333
SE,10.0000,pue,none,30.9622,0.0000,100.0000,0.0000,12.0067,0.0000,0.0000,0.0000,0.3529,11280.6333
SE,50.0000,fsla,M0,40.0330,-3.6011,100.0000,0.0000,11.9984,0.1164,-19.8003,-47.4978,0.3501,11280.6333
SE,50.0000,fsla,M1,40.0330,-3.6011,100.0000,0.0000,11.9984,0.1164,-19.8003,-47.4978,0.3501,11280.6333
SE,50.0000,fsla,M2,40.0330,-3.6011,100.0000,0.0000,11.9984,0.1164,-19.8003,-47.4978,0.3501,11280.6333
SE,50.0000,fsla,M3,40.0330,-3.6011,100.0000,0.0000,11.9984,0.1164,-19.8003,-47.4978,0.3501,11280.6333
SE,50.0000,fsla,none,43.6341,0.0000,100.0000,0.0000,12.1148,0.0000,0.0000,0.0000,0.9802,1260.6500
SE,50.0000,pue,GridPilot-PUE,43.2335,12.2725,100.0000,0.0000,12.1998,-0.2026,1300.3305,96.6906,0.8255,2640.6333
SE,50.0000,pue,none,30.9611,0.0000,100.0000,0.0000,11.9972,0.0000,0.0000,0.0000,0.3501,11280.6333
