country,season,layer,seed,mw,ci_source,n_completed,n_truncated,energy_kwh,ci_weighted_mean,cfe_canonical_pct,co2_g_facility,p95_slowdown
DE,Spring,saf,0,10,synth,1000.0000,0.0000,39.2696,320.7161,59.9105,15113.2668,1.0000
DE,Spring,saf,1,10,synth,1000.0000,0.0000,32.6737,311.4877,61.0640,12212.9658,1.0000
DE,Spring,saf,2,10,synth,1000.0000,0.0000,68.5254,333.9060,58.2617,27457.2595,1.0000
DE,Spring,saf,3,10,synth,1000.0000,0.0000,41.7025,331.9927,58.5009,16613.9083,1.0000
DE,Summer,easy_fcfs,0,10,synth,1000.0000,0.0000,39.2696,272.6087,65.9239,12846.2768,1.0000
DE,Summer,easy_fcfs,1,10,synth,1000.0000,0.0000,32.6737,264.7646,66.9044,10381.0210,1.0000
DE,Summer,easy_fcfs,2,10,synth,1000.0000,0.0000,68.5254,283.8201,64.5225,23338.6706,1.0000
DE,Summer,easy_fcfs,3,10,synth,1000.0000,0.0000,41.7025,282.1938,64.7258,14121.8220,1.0000
DE,Summer,fcfs,0,10,synth,1000.0000,0.0000,39.2696,272.6087,65.9239,12846.2768,1.0000
DE,Summer,fcfs,1,10,synth,1000.0000,0.0000,32.6737,264.7646,66.9044,10381.0210,1.0000
DE,Summer,fcfs,2,10,synth,1000.0000,0.0000,68.5254,283.8201,64.5225,23338.6706,1.0000
DE,Summer,fcfs,3,10,synth,1000.0000,0.0000,41.7025,282.1938,64.7258,14121.8220,1.0000
DE,Summer,fsla_M3,0,10,synth,,,272.8871,317.0026,60.3747,103366.1958,57.6400
DE,Summer,fsla_M3,1,10,synth,,,219.1663,312.0663,60.9917,81415.6232,57.6400
DE,Summer,fsla_M3,2,10,synth,,,473.1754,320.2124,59.9735,181407.4548,57.6400
DE,Summer,fsla_M3,3,10,synth,,,281.5983,331.9229,58.5096,112443.2592,57.6400
DE,Summer,replay,0,10,synth,1000.0000,0.0000,39.2696,272.6087,65.9239,12846.2768,1.0000
DE,Summer,replay,1,10,synth,1000.0000,0.0000,32.6737,264.7646,66.9044,10381.0210,1.0000
DE,Summer,replay,2,10,synth,1000.0000,0.0000,68.5254,283.8201,64.5225,23338.6706,1.0000
DE,Summer,replay,3,10,synth,1000.0000,0.0000,41.7025,282.1938,64.7258,14121.8220,1.0000
DE,Summer,saf,0,10,synth,1000.0000,0.0000,39.2696,272.6087,65.9239,12846.2768,1.0000
DE,Summer,saf,1,10,synth,1000.0000,0.0000,32.6737,264.7646,66.9044,10381.0210,1.0000
DE,Summer,saf,2,10,synth,1000.0000,0.0000,68.5254,283.8201,64.5225,23338.6706,1.0000
DE,Summer,saf,3,10,synth,1000.0000,0.0000,41.7025,282.1938,64.7258,14121.8220,1.0000
DE,Winter,easy_fcfs,0,10,synth,1000.0000,0.0000,39.2696,378.4450,52.6944,17833.6549,1.0000
DE,Winter,easy_fcfs,1,10,synth,1000.0000,0.0000,32.6737,367.5555,54.0556,14411.2997,1.0000
DE,Winter,easy_fcfs,2,10,synth,1000.0000,0.0000,68.5254,394.0091,50.7489,32399.5662,1.0000
DE,Winter,easy_fcfs,3,10,synth,1000.0000,0.0000,41.7025,391.7513,51.0311,19604.4118,1.0000
DE,Winter,fcfs,0,10,synth,1000.0000,0.0000,39.2696,378.4450,52.6944,17833.6549,1.0000
DE,Winter,fcfs,1,10,synth,1000.0000,0.0000,32.6737,367.5555,54.0556,14411.2997,1.0000
DE,Winter,fcfs,2,10,synth,1000.0000,0.0000,68.5254,394.0091,50.7489,32399.5662,1.0000
DE,Winter,fcfs,3,10,synth,1000.0000,0.0000,41.7025,391.7513,51.0311,19604.4118,1.0000
DE,Winter,fsla_M3,0,10,synth,,,272.8871,317.0026,60.3747,103366.1958,57.6400
DE,Winter,fsla_M3,1,10,synth,,,219.1663,312.0663,60.9917,81415.6232,57.6400
DE,Winter,fsla_M3,2,10,synth,,,473.1754,320.2124,59.9735,181407.4548,57.6400
DE,Winter,fsla_M3,3,10,synth,,,281.5983,331.9229,58.5096,112443.2592,57.6400
DE,Winter,replay,0,10,synth,1000.0000,0.0000,39.2696,378.4450,52.6944,17833.6549,1.0000
DE,Winter,replay,1,10,synth,1000.0000,0.0000,32.6737,367.5555,54.0556,14411.2997,1.0000
DE,Winter,replay,2,10,synth,1000.0000,0.0000,68.5254,394.0091,50.7489,32399.5662,1.0000
DE,Winter,replay,3,10,synth,1000.0000,0.0000,41.7025,391.7513,51.0311,19604.4118,1.0000
DE,Winter,saf,0,10,synth,1000.0000,0.0000,39.2696,378.4450,52.6944,17833.6549,1.0000
DE,Winter,saf,1,10,synth,1000.0000,0.0000,32.6737,367.5555,54.0556,14411.2997,1.0000
DE,Winter,saf,2,10,synth,1000.0000,0.0000,68.5254,394.0091,50.7489,32399.5662,1.0000
DE,Winter,saf,3,10,synth,1000.0000,0.0000,41.7025,391.7513,51.0311,19604.4118,1.0000
IT,Autumn,easy_fcfs,0,10,synth,1000.0000,0.0000,39.2696,293.8056,63.2743,13845.1501,1.0000
IT,Autumn,easy_fcfs,1,10,synth,1000.0000,0.0000,32.6737,287.7524,64.0309,11282.3407,1.0000
IT,Autumn,easy_fcfs,2,10,synth,1000.0000,0.0000,68.5254,302.4573,62.1928,24871.2163,1.0000
IT,Autumn,easy_fcfs,3,10,synth,1000.0000,0.0000,41.7025,301.2023,62.3497,15073.0653,1.0000
IT,Autumn,fcfs,0,10,synth,1000.0000,0.0000,39.2696,293.8056,63.2743,13845.1501,1.0000
IT,Autumn,fcfs,1,10,synth,1000.0000,0.0000,32.6737,287.7524,64.0309,11282.3407,1.0000
IT,Autumn,fcfs,2,10,synth,1000.0000,0.0000,68.5254,302.4573,62.1928,24871.2163,1.0000
IT,Autumn,fcfs,3,10,synth,1000.0000,0.0000,41.7025,301.2023,62.3497,15073.0653,1.0000
IT,Autumn,fsla_M3,0,10,synth,,,272.8871,277.4724,65.3159,90799.6569,57.6400
IT,Autumn,fsla_M3,1,10,synth,,,219.1663,274.3888,65.7014,71515.5263,57.6400
IT,Autumn,fsla_M3,2,10,synth,,,473.1754,279.4772,65.0654,161065.7073,57.6400
IT,Autumn,fsla_M3,3,10,synth,,,281.5983,286.7930,64.1509,96975.3277,57.6400
IT,Autumn,replay,0,10,synth,1000.0000,0.0000,39.2696,293.8056,63.2743,13845.1501,1.0000
IT,Autumn,replay,1,10,synth,1000.0000,0.0000,32.6737,287.7524,64.0309,11282.3407,1.0000
IT,Autumn,replay,2,10,synth,1000.0000,0.0000,68.5254,302.4573,62.1928,24871.2163,1.0000
IT,Autumn,replay,3,10,synth,1000.0000,0.0000,41.7025,301.2023,62.3497,15073.0653,1.0000
IT,Autumn,saf,0,10,synth,1000.0000,0.0000,39.2696,293.8056,63.2743,13845.1501,1.0000
IT,Autumn,saf,1,10,synth,1000.0000,0.0000,32.6737,287.7524,64.0309,11282.3407,1.0000
IT,Autumn,saf,2,10,synth,1000.0000,0.0000,68.5254,302.4573,62.1928,24871.2163,1.0000
IT,Autumn,saf,3,10,synth,1000.0000,0.0000,41.7025,301.2023,62.3497,15073.0653,1.0000
IT,Spring,easy_fcfs,0,10,synth,1000.0000,0.0000,39.2696,279.8149,65.0231,13185.8573,1.0000
IT,Spring,easy_fcfs,1,10,synth,1000.0000,0.0000,32.6737,274.0499,65.7438,10745.0864,1.0000
IT,Spring,easy_fcfs,2,10,synth,1000.0000,0.0000,68.5254,288.0546,63.9932,23686.8726,1.0000
IT,Spring,easy_fcfs,3,10,synth,1000.0000,0.0000,41.7025,286.8593,64.1426,14355.3003,1.0000
IT,Spring,fcfs,0,10,synth,1000.0000,0.0000,39.2696,279.8149,65.0231,13185.8573,1.0000
IT,Spring,fcfs,1,10,synth,1000.0000,0.0000,32.6737,274.0499,65.7438,10745.0864,1.0000
IT,Spring,fcfs,2,10,synth,1000.0000,0.0000,68.5254,288.0546,63.9932,23686.8726,1.0000
IT,Spring,fcfs,3,10,synth,1000.0000,0.0000,41.7025,286.8593,64.1426,14355.3003,1.0000
IT,Spring,fsla_M3,0,10,synth,,,272.8871,277.4724,65.3159,90799.6569,57.6400
IT,Spring,fsla_M3,1,10,synth,,,219.1663,274.3888,65.7014,71515.5263,57.6400
IT,Spring,fsla_M3,2,10,synth,,,473.1754,279.4772,65.0654,161065.7073,57.6400
IT,Spring,fsla_M3,3,10,synth,,,281.5983,286.7930,64.1509,96975.3277,57.6400
IT,Spring,replay,0,10,synth,1000.0000,0.0000,39.2696,279.8149,65.0231,13185.8573,1.0000
IT,Spring,replay,1,10,synth,1000.0000,0.0000,32.6737,274.0499,65.7438,10745.0864,1.0000
IT,Spring,replay,2,10,synth,1000.0000,0.0000,68.5254,288.0546,63.9932,23686.8726,1.0000
IT,Spring,replay,3,10,synth,1000.0000,0.0000,41.7025,286.8593,64.1426,14355.3003,1.0000
IT,Spring,saf,0,10,synth,1000.0000,0.0000,39.2696,279.8149,65.0231,13185.8573,1.0000
IT,Spring,saf,1,10,synth,1000.0000,0.0000,32.6737,274.0499,65.7438,10745.0864,1.0000
IT,Spring,saf,2,10,synth,1000.0000,0.0000,68.5254,288.0546,63.9932,23686.8726,1.0000
IT,Spring,saf,3,10,synth,1000.0000,0.0000,41.7025,286.8593,64.1426,14355.3003,1.0000
IT,Summer,easy_fcfs,0,10,synth,1000.0000,0.0000,39.2696,237.8427,70.2697,11207.9787,1.0000
IT,Summer,easy_fcfs,1,10,synth,1000.0000,0.0000,32.6737,232.9424,70.8822,9133.3234,1.0000
IT,Summer,easy_fcfs,2,10,synth,1000.0000,0.0000,68.5254,244.8464,69.3942,20133.8417,1.0000
IT,Summer,easy_fcfs,3,10,synth,1000.0000,0.0000,41.7025,243.8304,69.5212,12202.0052,1.0000
IT,Summer,fcfs,0,10,synth,1000.0000,0.0000,39.2696,237.8427,70.2697,11207.9787,1.0000
IT,Summer,fcfs,1,10,synth,1000.0000,0.0000,32.6737,232.9424,70.8822,9133.3234,1.0000
IT,Summer,fcfs,2,10,synth,1000.0000,0.0000,68.5254,244.8464,69.3942,20133.8417,1.0000
IT,Summer,fcfs,3,10,synth,1000.0000,0.0000,41.7025,243.8304,69.5212,12202.0052,1.0000
IT,Summer,fsla_M3,0,10,synth,,,272.8871,277.4724,65.3159,90799.6569,57.6400
IT,Summer,fsla_M3,1,10,synth,,,219.1663,274.3888,65.7014,71515.5263,57.6400
IT,Summer,fsla_M3,2,10,synth,,,473.1754,279.4772,65.0654,161065.7073,57.6400
IT,Summer,fsla_M3,3,10,synth,,,281.5983,286.7930,64.1509,96975.3277,57.6400
IT,Summer,replay,0,10,synth,1000.0000,0.0000,39.2696,237.8427,70.2697,11207.9787,1.0000
IT,Summer,replay,1,10,synth,1000.0000,0.0000,32.6737,232.9424,70.8822,9133.3234,1.0000
IT,Summer,replay,2,10,synth,1000.0000,0.0000,68.5254,244.8464,69.3942,20133.8417,1.0000
IT,Summer,replay,3,10,synth,1000.0000,0.0000,41.7025,243.8304,69.5212,12202.0052,1.0000
IT,Summer,saf,0,10,synth,1000.0000,0.0000,39.2696,237.8427,70.2697,11207.9787,1.0000
IT,Summer,saf,1,10,synth,1000.0000,0.0000,32.6737,232.9424,70.8822,9133.3234,1.0000
IT,Summer,saf,2,10,synth,1000.0000,0.0000,68.5254,244.8464,69.3942,20133.8417,1.0000
IT,Summer,saf,3,10,synth,1000.0000,0.0000,41.7025,243.8304,69.5212,12202.0052,1.0000
IT,Winter,easy_fcfs,0,10,synth,1000.0000,0.0000,39.2696,330.1816,58.7273,15559.3116,1.0000
IT,Winter,easy_fcfs,1,10,synth,1000.0000,0.0000,32.6737,323.3789,59.5776,12679.2019,1.0000
IT,Winter,easy_fcfs,2,10,synth,1000.0000,0.0000,68.5254,339.9044,57.5119,27950.5097,1.0000
IT,Winter,easy_fcfs,3,10,synth,1000.0000,0.0000,41.7025,338.4940,57.6883,16939.2543,1.0000
IT,Winter,fcfs,0,10,synth,1000.0000,0.0000,39.2696,330.1816,58.7273,15559.3116,1.0000
IT,Winter,fcfs,1,10,synth,1000.0000,0.0000,32.6737,323.3789,59.5776,12679.2019,1.0000
IT,Winter,fcfs,2,10,synth,1000.0000,0.0000,68.5254,339.9044,57.5119,27950.5097,1.0000
IT,Winter,fcfs,3,10,synth,1000.0000,0.0000,41.7025,338.4940,57.6883,16939.2543,1.0000
IT,Winter,fsla_M3,0,10,synth,,,272.8871,277.4724,65.3159,90799.6569,57.6400
IT,Winter,fsla_M3,1,10,synth,,,219.1663,274.3888,65.7014,71515.5263,57.6400
IT,Winter,fsla_M3,2,10,synth,,,473.1754,279.4772,65.0654,161065.7073,57.6400
IT,Winter,fsla_M3,3,10,synth,,,281.5983,286.7930,64.1509,96975.3277,57.6400
IT,Winter,replay,0,10,synth,1000.0000,0.0000,39.2696,330.1816,58.7273,15559.3116,1.0000
IT,Winter,replay,1,10,synth,1000.0000,0.0000,32.6737,323.3789,59.5776,12679.2019,1.0000
IT,Winter,replay,2,10,synth,1000.0000,0.0000,68.5254,339.9044,57.5119,27950.5097,1.0000
IT,Winter,replay,3,10,synth,1000.0000,0.0000,41.7025,338.4940,57.6883,16939.2543,1.0000
IT,Winter,saf,0,10,synth,1000.0000,0.0000,39.2696,330.1816,58.7273,15559.3116,1.0000
IT,Winter,saf,1,10,synth,1000.0000,0.0000,32.6737,323.3789,59.5776,12679.2019,1.0000
IT,Winter,saf,2,10,synth,1000.0000,0.0000,68.5254,339.9044,57.5119,27950.5097,1.0000
IT,Winter,saf,3,10,synth,1000.0000,0.0000,41.7025,338.4940,57.6883,16939.2543,1.0000
