t,gpu_index,power_w,sm_clock_mhz,util_gpu,pcap_set,rapl_pkg_uj
1.7252,0,80.33,1530,0.02,,186656787599
1.7252,1,55.42,1290,0.01,,186656787599
1.7252,2,53.21,1290,0.03,,186656787599
1.7374,0,156.99,1530,0.02,,186657540527
1.7374,1,55.46,1290,0.01,,186657540527
1.7374,2,83.19,1290,0.03,,186657540527
1.7516,0,221.18,1530,0.02,,186658499814
1.7516,1,55.46,1290,0.01,,186658499814
1.7516,2,129.31,1290,0.03,,186658499814
1.7652,0,221.18,1530,0.02,,186659336909
1.7652,1,111.59,1290,0.01,,186659336909
1.7652,2,129.31,1290,0.03,,186659336909
1.7773,0,311.50,1522,0.02,,186660090813
1.7773,1,160.33,1290,0.01,,186660090813
1.7773,2,194.56,1290,0.03,,186660090813
1.7916,0,319.95,1477,0.02,,186660987356
1.7916,1,220.37,1290,0.01,,186660987356
1.7916,2,231.00,1290,0.03,,186660987356
1.8142,0,314.22,1447,0.02,,186662478258
1.8142,1,220.37,1290,0.01,,186662478258
1.8142,2,240.60,1290,0.03,,186662478258
1.8306,0,316.13,1417,0.02,,186663514388
1.8306,1,238.20,1432,0.49,,186663514388
1.8306,2,241.56,1290,0.03,,186663514388
1.8501,0,300.35,1395,0.02,,186664824382
1.8501,1,272.01,1432,0.49,,186664824382
1.8501,2,241.40,1290,0.03,,186664824382
1.8739,0,289.84,1395,0.8,,186666325782
1.8739,1,277.53,1432,0.49,,186666325782
1.8739,2,258.67,1395,0.75,,186666325782
1.8969,0,291.75,1395,0.8,,186667800266
1.8969,1,277.53,1432,0.49,,186667800266
1.8969,2,268.56,1395,0.75,,186667800266
1.9127,0,290.31,1395,0.8,,186668826753
1.9127,1,283.72,1432,0.49,,186668826753
1.9127,2,278.44,1395,0.75,,186668826753
1.9329,0,288.40,1395,0.8,,186670118802
1.9329,1,283.24,1432,0.49,,186670118802
1.9329,2,278.44,1395,0.75,,186670118802
1.9532,0,280.94,1395,0.8,,186671418543
1.9532,1,289.91,1432,0.49,,186671418543
1.9532,2,278.15,1395,0.75,,186671418543
1.9760,0,245.07,1395,0.8,,186672910482
1.9760,1,289.91,1432,0.49,,186672910482
1.9760,2,279.59,1395,0.75,,186672910482
1.9929,0,230.52,1395,0.8,,186674004535
1.9929,1,266.35,1432,0.49,,186674004535
1.9929,2,248.45,1395,0.75,,186674004535
2.0144,0,226.50,1395,0.8,,186675363967
2.0144,1,230.23,1447,1.0,,186675363967
2.0144,2,219.58,1395,0.75,,186675363967
2.0305,0,226.50,1395,0.8,,186676458569
2.0305,1,225.12,1447,1.0,,186676458569
2.0305,2,213.95,1395,0.75,,186676458569
2.0519,0,255.79,1500,1.0,,186677822640
2.0519,1,224.16,1447,1.0,,186677822640
2.0519,2,213.95,1507,1.0,,186677822640
2.0648,0,259.45,1500,1.0,,186678661810
2.0648,1,221.14,1447,1.0,,186678661810
2.0648,2,243.32,1507,1.0,,186678661810
2.0782,0,267.12,1500,1.0,,186679495610
2.0782,1,220.99,1447,1.0,,186679495610
2.0782,2,252.29,1507,1.0,,186679495610
2.0936,0,267.12,1500,1.0,,186680460085
2.0936,1,220.99,1447,1.0,,186680460085
2.0936,2,252.29,1507,1.0,,186680460085
2.1050,0,268.08,1500,1.0,,186681231018
2.1050,1,222.58,1447,1.0,,186681231018
2.1050,2,251.01,1507,1.0,,186681231018
2.1184,0,272.10,1500,1.0,,186682070188
2.1184,1,220.66,1447,1.0,,186682070188
2.1184,2,255.65,1507,1.0,,186682070188
2.1338,0,272.10,1500,1.0,,186683030085
2.1338,1,220.66,1447,1.0,,186683030085
2.1338,2,255.65,1507,1.0,,186683030085
2.1453,0,271.14,1500,1.0,,186683793877
2.1453,1,226.40,1447,1.0,,186683793877
2.1453,2,252.46,1507,1.0,,186683793877
2.1587,0,272.58,1500,1.0,,186684623831
2.1587,1,222.91,1447,1.0,,186684623831
2.1587,2,256.61,1507,1.0,,186684623831
2.1744,0,272.58,1500,1.0,,186685663440
2.1744,1,222.91,1530,1.0,,186685663440
2.1744,2,256.61,1507,1.0,,186685663440
2.1859,0,268.56,1500,1.0,,186686369310
2.1859,1,251.73,1530,1.0,,186686369310
2.1859,2,253.73,1507,1.0,,186686369310
2.1993,0,270.78,1500,1.0,,186687264633
2.1993,1,253.95,1530,1.0,,186687264633
2.1993,2,252.77,1507,1.0,,186687264633
2.2160,0,270.78,1530,1.0,,186688298077
2.2160,1,253.95,1530,1.0,,186688298077
2.2160,2,258.84,1530,1.0,,186688298077
2.2293,0,284.00,1530,1.0,,186689196451
2.2293,1,254.90,1530,1.0,,186689196451
2.2293,2,258.84,1530,1.0,,186689196451
2.2420,0,283.04,1530,1.0,,186689960732
2.2420,1,257.11,1530,1.0,,186689960732
2.2420,2,266.34,1530,1.0,,186689960732
2.2554,0,283.04,1530,1.0,,186690812963
2.2554,1,257.11,1530,1.0,,186690812963
2.2554,2,266.34,1530,1.0,,186690812963
2.2924,0,283.04,1530,1.0,,186693188873
2.2924,1,259.02,1530,1.0,,186693188873
2.2924,2,267.12,1530,1.0,,186693188873
2.3057,0,285.92,1530,1.0,,186694102262
2.3057,1,255.21,1530,1.0,,186694102262
2.3057,2,271.44,1530,1.0,,186694102262
2.3191,0,284.96,1530,1.0,,186694935267
2.3191,1,259.02,1530,1.0,,186694935267
2.3191,2,268.26,1530,1.0,,186694935267
2.3335,0,284.96,1530,1.0,,186695835961
2.3335,1,259.02,1530,1.0,,186695835961
2.3335,2,268.26,1530,1.0,,186695835961
2.3449,0,286.20,1530,1.0,,186696599142
2.3449,1,255.68,1530,1.0,,186696599142
2.3449,2,270.48,1530,1.0,,186696599142
2.3583,0,284.48,1530,1.0,,186697427631
2.3583,1,255.68,1530,1.0,,186697427631
2.3583,2,272.58,1530,1.0,,186697427631
2.3713,0,284.48,1530,1.0,,186698260515
2.3713,1,260.32,1530,1.0,,186698260515
2.3713,2,272.58,1530,1.0,,186698260515
2.3835,0,287.35,1530,1.0,,186699023514
2.3835,1,255.86,1530,1.0,,186699023514
2.3835,2,271.62,1530,1.0,,186699023514
2.3968,0,284.48,1530,1.0,,186699857130
2.3968,1,260.32,1530,1.0,,186699857130
2.3968,2,269.22,1530,1.0,,186699857130
2.4422,0,287.35,1530,1.0,,186702879949
2.4422,1,256.81,1530,1.0,,186702879949
2.4422,2,270.96,1530,1.0,,186702879949
2.4558,0,287.35,1530,1.0,,186703710391
2.4558,1,256.81,1530,1.0,,186703710391
2.4558,2,270.96,1530,1.0,,186703710391
2.4673,0,285.92,1530,1.0,,186704476503
2.4673,1,260.15,1530,1.0,,186704476503
2.4673,2,270.66,1530,1.0,,186704476503
2.4808,0,287.35,1530,1.0,,186705308715
2.4808,1,256.33,1530,1.0,,186705308715
2.4808,2,271.62,1530,1.0,,186705308715
2.4942,0,287.35,1530,1.0,,186706134213
2.4942,1,256.33,1530,1.0,,186706134213
2.4942,2,271.62,1530,1.0,,186706134213
2.5056,0,286.11,1530,1.0,,186706901728
2.5056,1,259.67,1530,1.0,,186706901728
2.5056,2,270.84,1530,1.0,,186706901728
2.5189,0,286.11,1530,1.0,,186707730767
2.5189,1,259.67,1530,1.0,,186707730767
2.5189,2,272.10,1530,1.0,,186707730767
2.5317,0,288.31,1530,1.0,,186708577200
2.5317,1,260.15,1530,1.0,,186708577200
2.5317,2,272.10,1530,1.0,,186708577200
2.5444,0,286.59,1530,1.0,,186709327931
2.5444,1,260.15,1530,1.0,,186709327931
2.5444,2,268.26,1530,1.0,,186709327931
2.5577,0,286.59,1530,1.0,,186710223192
2.5577,1,260.15,1530,1.0,,186710223192
2.5577,2,268.26,1530,1.0,,186710223192
2.5691,0,287.35,1530,1.0,,186710928940
2.5691,1,258.72,1530,1.0,,186710928940
2.5691,2,269.22,1530,1.0,,186710928940
2.6071,0,286.87,1530,1.0,,186713424600
2.6071,1,257.76,1530,1.0,,186713424600
2.6071,2,274.02,1530,1.0,,186713424600
2.6204,0,285.15,1530,1.0,,186714257728
2.6204,1,257.76,1530,1.0,,186714257728
2.6204,2,268.92,1530,1.0,,186714257728
2.6337,0,285.15,1530,1.0,,186715099156
2.6337,1,254.59,1530,1.0,,186715099156
2.6337,2,268.92,1530,1.0,,186715099156
2.6472,0,287.83,1530,1.0,,186715986544
2.6472,1,259.19,1530,1.0,,186715986544
2.6472,2,272.40,1530,1.0,,186715986544
2.6608,0,286.11,1530,1.0,,186716828949
2.6608,1,259.19,1530,1.0,,186716828949
2.6608,2,270.84,1530,1.0,,186716828949
2.6737,0,286.11,1530,1.0,,186717662443
2.6737,1,255.55,1530,1.0,,186717662443
2.6737,2,270.84,1530,1.0,,186717662443
2.6858,0,288.31,1530,1.0,,186718423733
2.6858,1,259.67,1530,1.0,,186718423733
2.6858,2,272.58,1530,1.0,,186718423733
2.6991,0,288.31,1530,1.0,,186719318323
2.6991,1,259.67,1530,1.0,,186719318323
2.6991,2,269.70,1530,1.0,,186719318323
2.7121,0,286.39,1530,1.0,,186720145286
2.7121,1,255.55,1530,1.0,,186720145286
2.7121,2,269.70,1530,1.0,,186720145286
2.7247,0,288.79,1530,1.0,,186720915181
2.7247,1,259.85,1530,1.0,,186720915181
2.7247,2,273.54,1530,1.0,,186720915181
2.7381,0,288.79,1530,1.0,,186721807208
