run,workload,pcap_w,sm_target_mhz,iters_per_s,iterations,wl_elapsed_s,samples,duration_s,power_mean_w,power_std_w,sm_mean_mhz,sm_std_mhz,temp_mean_c,temp_max_c,util_gpu_mean,energy_j,throttle_seen,rate_hz_achieved
bursty_alternating_pcap300_sm405,bursty_alternating,300,405,14.781932021297541,711,48.099260568618774,4946,50.0149,60.84945405526848,2.761161747572821,405,0.0,45.494720287575824,48,0.9733587957762301,3033.655211000054,0x0000000000000001,98.85691999759561
bursty_alternating_pcap300_sm945,bursty_alternating,300,945,60.489259256709715,2028,33.52661323547363,3515,35.4377,116.25942033786022,20.642784997679804,945,0.0,47.808877111626366,49,0.9109903941702551,4048.9583265000174,0x0000000000000001,99.15328739863254
inference_memory_bound_pcap150_sm1380,inference_memory_bound,150,1380,422.87976315008797,13031,30.814905643463135,3220,32.7256,147.23597578870138,9.220468697004568,1000.990095377843,41.847344824193286,52.12729273661042,54,0.9932208363903154,4694.398778500003,0x0000000000000001;0x0000000000000004,98.34056610325501
inference_memory_bound_pcap150_sm405,inference_memory_bound,150,405,90.14009897204535,3044,33.769654512405396,2047,35.6961,67.094379776602,3.15609737330814,405,0.0,47.30570252792475,49,0.9882774838330394,2372.5603764999887,0x0000000000000001,57.327381708437166
inference_memory_bound_pcap150_sm945,inference_memory_bound,150,945,403.78103501729856,12454,30.843449592590332,3228,32.7512,140.22253201609954,10.622625055016364,945,0.0,50.03622392974753,52,0.9927954628613246,4456.216772000008,0x0000000000000001;0x0000000000000004,98.51542534141508
inference_memory_bound_pcap200_sm1380,inference_memory_bound,200,1380,492.9454613642021,15130,30.693050622940063,3214,32.6057,196.43453211009174,14.272672453860853,1269.6359633027523,13.75999003789608,56.58385321100918,60,0.9928366972477064,6198.552797499958,0x0000000000000001;0x0000000000000004,98.53696421261048
inference_memory_bound_pcap200_sm405,inference_memory_bound,200,405,90.80440289223749,3066,33.76488256454468,3415,35.6813,67.09893638850889,2.473950400136601,405,0.0,45.924418604651166,48,0.9933789329685363,2366.371927999976,0x0000000000000001,95.6625161467312
inference_memory_bound_pcap200_sm945,inference_memory_bound,200,945,404.98714042053257,12491,30.842954635620117,3230,32.751,143.22923217550274,11.845684233615811,945,0.0,49.825959780621574,52,0.9929542961608775,4566.974270999996,0x0000000000000001,98.57184223067969
inference_memory_bound_pcap250_sm1380,inference_memory_bound,250,1380,509.78002902135154,15633,30.666167974472046,3222,32.5807,222.43791559633027,17.008707668409375,1380,0.0,59.401100917431194,63,0.9927926605504587,6992.966199999964,0x0000000000000001,98.84738522777465
inference_memory_bound_pcap250_sm405,inference_memory_bound,250,405,90.169205890405,3045,33.7698438167572,3526,35.689,67.21771287128712,2.3402985090204234,405,0.0,47.201980198019804,49,0.9938877887788778,2370.1386019999827,0x0000000000000001,98.7471549003611
inference_memory_bound_pcap250_sm945,inference_memory_bound,250,945,404.69454186068265,12482,30.843015432357788,3232,32.7436,142.35658750456705,11.483026730675249,945,0.0,50.35221044939715,52,0.9930288637194008,4544.2569515,0x0000000000000001,98.65280913451713
inference_memory_bound_pcap300_sm1380,inference_memory_bound,300,1380,509.84197730477416,15635,30.666364669799805,3221,32.5689,222.99109724770642,17.01262628865992,1380,0.0,59.79045871559633,64,0.9928844036697247,7008.750260499966,0x0000000000000001,98.8536914345148
inference_memory_bound_pcap300_sm405,inference_memory_bound,300,405,90.17345478497276,3045,33.76825261116028,3527,35.6825,67.75173755357731,2.369459176398477,405,0.0,48.41147378832839,51,0.9939070227497527,2389.295544999993,0x0000000000000001,98.79938264670683
inference_memory_bound_pcap300_sm945,inference_memory_bound,300,945,404.4760405001832,12475,30.842370748519897,3241,32.7527,141.6941857923497,11.282403366782042,945,0.0,50.78979963570127,52,0.992775956284153,4528.4926620000015,0x0000000000000001,98.91969359106339
matmul_compute_bound_pcap150_sm1380,matmul_compute_bound,150,1380,79.10111130759847,2715,34.323158740997314,3564,36.2273,146.6728371335505,8.623783026493122,1157.971009771987,23.8351185672786,50.361237785016286,53,0.9939381107491857,5187.730033999977,0x0000000000000001;0x0000000000000004,98.32433681240414
matmul_compute_bound_pcap150_sm405,matmul_compute_bound,150,405,15.406996354492168,802,52.0542733669281,3620,53.9796,59.99484187902978,1.669594503394173,405,0.0,38.28246852932146,39,0.9939177156892847,3221.6656099999987,0x0000000000000001,67.04292339561006
matmul_compute_bound_pcap150_sm945,matmul_compute_bound,150,945,64.94973307169147,2289,35.24263906478882,3658,37.1431,114.04840428886786,6.536515508459757,945,0.0,44.4878587196468,47,0.9942857142857143,4149.581545999959,0x0000000000000001,98.43331271139863
matmul_compute_bound_pcap200_sm1380,matmul_compute_bound,200,1380,91.80321020451963,3095,33.71341800689697,3520,35.6157,196.094431256182,13.577336986018235,1352.7777777777778,6.460051336166333,56.19221892515661,60,0.9936432575008243,6777.447102000006,0x0000000000000001;0x0000000000000004,98.7923793907854
matmul_compute_bound_pcap200_sm405,matmul_compute_bound,200,405,15.212927884359756,796,52.32391858100891,5341,54.2393,60.919517027863776,1.4126104722732205,405,0.0,43.35232198142415,45,0.9959958720330238,3288.390175499894,0x0000000000000001,98.44058738053936
matmul_compute_bound_pcap200_sm945,matmul_compute_bound,200,945,65.05984820129446,2293,35.24447202682495,3678,37.1459,115.61198617221874,7.3613066589389256,945,0.0,46.57291011942175,48,0.9939534883720931,4223.94762549999,0x0000000000000001,98.97678582115729
matmul_compute_bound_pcap250_sm1380,matmul_compute_bound,250,1380,93.71403230810523,3152,33.63423728942871,3503,35.5401,205.4657924403183,14.566404211191022,1380,0.0,57.677718832891244,61,0.9935775862068965,7082.5905449999955,0x0000000000000001;0x0000000000000004,98.53547080524963
matmul_compute_bound_pcap250_sm405,matmul_compute_bound,250,405,15.139365225812812,792,52.313950300216675,5362,54.2232,61.261019317714755,1.394491832368138,405,0.0,45.136251541307026,48,0.9961200164406083,3309.805138500128,0x0000000000000001,98.855467330853
matmul_compute_bound_pcap250_sm945,matmul_compute_bound,250,945,65.01798196410883,2291,35.23640584945679,3688,37.1971,115.3260945818979,7.474430603359357,945,0.0,47.394613216410896,49,0.9925336673974319,4220.777152000013,0x0000000000000001,99.09930369520586
matmul_compute_bound_pcap300_sm1380,matmul_compute_bound,300,1380,93.72925318945381,3152,33.62877535820007,3520,35.5391,206.27420026437542,14.62799680353323,1380,0.0,58.225049570389956,62,0.9936285525446134,7103.870736500011,0x0000000000000001,99.0048681536903
matmul_compute_bound_pcap300_sm405,matmul_compute_bound,300,405,15.131328858892386,792,52.341734647750854,5366,54.2514,61.35835318275154,1.4045993452610162,405,0.0,45.629158110882955,49,0.9961006160164271,3318.071181500137,0x0000000000000001,98.8751681760666
matmul_compute_bound_pcap300_sm945,matmul_compute_bound,300,945,65.37278271176997,2303,35.22872829437256,3682,37.1298,122.17647206528562,7.997106010028886,945,0.0,48.317639673571875,50,0.9940018832391714,4435.800433500078,0x0000000000000001,99.1135956575494
