country,mw,tier,tier_name,seed,n_jobs,energy_kwh,co2_g_it,co2_g_facility,co2_tonnes_y,cfe_pct,cfe_abs_pct,ci_weighted_mean,p50_slowdown,p95_slowdown,p99_slowdown,cfe_lift_pp_vs_t0
SE,10.0000,1,T1,20260519,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
SE,10.0000,1,T1,20260520,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
SE,10.0000,1,T1,20260521,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
SE,10.0000,1,T1,20260522,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
SE,10.0000,1,T1,20260523,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
SE,10.0000,1,T1,20260524,1994,60306.3771,666795.1217,1408399.5942,8.1127,45.5570,100.0000,11.2077,10.5867,72.4551,122.6902,1.1095
SE,10.0000,2,T2,20260518,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,2,T2,20260517,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,2,T2,20260519,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,2,T2,20260520,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,2,T2,20260521,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,2,T2,20260522,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,2,T2,20260523,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,2,T2,20260524,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260517,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260518,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260519,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260520,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260521,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260522,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260523,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,3,T3,20260524,1994,60331.3467,669086.0469,1430724.6347,8.1405,44.8005,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,4,T4,20260517,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,4,T4,20260518,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,4,T4,20260519,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,4,T4,20260520,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,4,T4,20260521,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,4,T4,20260522,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,4,T4,20260523,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,4,T4,20260524,1994,60331.3467,666356.7183,1433743.5442,8.1073,45.8253,100.0000,11.3188,14.2135,152.9736,411.2177,1.3777
SE,10.0000,5,T5,20260517,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,5,T5,20260518,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,5,T5,20260519,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
SE,10.0000,5,T5,20260520,1994,60331.3467,669085.9023,1430868.2829,8.1405,44.8006,100.0000,11.3303,14.2801,159.1382,411.2177,0.3530
